index;title;googleDriveId;releaseYear;size;remotePath
1251;Bite Sized;1Q36BmSlHsEfkyhAd7XFVHAPY4Kf-sr0h;2022;5487944;comics/oots1251.html
1252;Tied Up Nicely;1ArLhzLJqHByKr21M_-y8Dctg0yzheZgI;2022;3780871;comics/oots1252.html
1253;Catching Up;1YCe9WPpSMqvMK5txaEEVpanrGK-3AjE6;2022;4105749;comics/oots1253.html
1254;Changed Circumstances;1JjW8l5lPpQAa3nyyLtk-c1_uRnnpOKuh;2022;4431691;comics/oots1254.html
1255;And Poorly Lit Signs;1Y7Azb32d-6I-ILa64XsuuSiPBqjKVgoy;2022;4623101;comics/oots1255.html
1256;Eye to Eye;1mbPf5uUDIIL59QQOT8icMp-S453pGoMY;2022;8762056;comics/oots1256.html
1257;Mental Block;1y4XVNZmkmARgGusktZ2USooWMGdTNyMG;2022;4248321;comics/oots1257.html
1258;Operational Security;13gdjwNj5L86XRvp6_VaT0QIlLtPBtLdB;2022;4862104;comics/oots1258.html
1259;By Size, Color, and Number of Holes;1KORWtL1oZzZfous5O0SEbdSs_re1NNp_;2022;4735681;comics/oots1259.html
1260;Stew You;1PFIXhsOKfWEwYExrQR-GjMkAF31cKYRC;2022;4170414;comics/oots1260.html
1261;Certain Doom;1i7DuqvUOURHPIcl4Baa2vkuVrmK5FNLr;2022;4097947;comics/oots1261.html
